"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
30,"self-employed","married","university.degree","no","yes","yes","telephone","jul","wed",957,3,999,0,"nonexistent",1.4,93.918,-42.7,4.956,5228.1,"no"
31,"services","married","high.school","no","no","no","cellular","jul","mon",650,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
44,"technician","married","high.school","no","no","no","cellular","nov","tue",231,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
31,"blue-collar","married","basic.4y","","no","no","telephone","may","mon",363,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
84,"retired","married","basic.9y","no","yes","no","cellular","may","wed",267,1,999,1,"failure",-1.8,93.876,-40,0.697,5008.7,"no"
31,"technician","married","professional.course","no","yes","no","cellular","aug","thu",58,1,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
30,"services","married","high.school","","no","yes","cellular","may","wed",102,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
53,"admin.","married","university.degree","no","no","no","telephone","jun","mon",541,19,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
34,"technician","married","university.degree","no","yes","no","telephone","may","wed",396,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
36,"management","married","university.degree","no","yes","no","telephone","nov","tue",155,4,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
31,"admin.","married","university.degree","","yes","no","cellular","aug","mon",155,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
49,"blue-collar","married","basic.4y","","yes","no","telephone","may","wed",487,5,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
35,"admin.","divorced","high.school","no","yes","no","telephone","may","wed",24,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
38,"admin.","married","high.school","no","no","no","cellular","aug","wed",289,2,999,0,"nonexistent",-2.9,92.201,-31.4,0.879,5076.2,"yes"
34,"blue-collar","married","basic.9y","no","yes","no","telephone","may","fri",229,5,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
33,"self-employed","married","basic.6y","no","no","no","telephone","may","fri",648,5,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
36,"admin.","married","high.school","no","yes","no","cellular","nov","thu",231,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
30,"technician","married","professional.course","no","no","no","cellular","may","wed",188,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,"no"
38,"blue-collar","married","professional.course","no","no","no","telephone","jun","mon",182,3,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
34,"management","married","university.degree","","no","no","telephone","may","mon",102,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"technician","single","basic.9y","no","no","no","cellular","aug","mon",205,3,6,3,"success",-1.7,94.027,-38.3,0.896,4991.6,"yes"
36,"technician","married","professional.course","no","yes","no","cellular","aug","thu",45,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
59,"technician","married","university.degree","no","yes","no","cellular","oct","mon",511,3,999,1,"failure",-3.4,92.431,-26.9,0.743,5017.5,"yes"
35,"admin.","single","professional.course","","yes","no","telephone","may","tue",352,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"blue-collar","married","basic.9y","no","no","yes","telephone","may","tue",100,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
48,"blue-collar","married","basic.9y","no","no","no","cellular","aug","wed",329,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
41,"admin.","married","university.degree","no","yes","no","telephone","may","mon",577,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"technician","married","professional.course","no","no","no","cellular","jul","fri",175,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
29,"admin.","single","university.degree","no","no","yes","cellular","aug","mon",119,6,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
37,"blue-collar","married","basic.9y","","no","no","cellular","may","wed",138,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
28,"admin.","single","high.school","no","yes","no","cellular","mar","fri",102,1,999,0,"nonexistent",-1.8,92.843,-50,1.531,5099.1,"no"
29,"admin.","single","university.degree","no","no","no","cellular","jul","wed",164,6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
36,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",55,1,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
44,"admin.","married","university.degree","no","no","no","cellular","jul","thu",72,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
36,"admin.","married","university.degree","","no","no","cellular","jul","fri",135,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
33,"admin.","single","university.degree","no","yes","no","telephone","aug","thu",46,2,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
28,"admin.","married","high.school","no","no","no","cellular","nov","tue",406,2,999,0,"nonexistent",-3.4,92.649,-30.1,0.715,5017.5,"yes"
30,"admin.","married","basic.9y","no","yes","yes","telephone","may","tue",125,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"management","married","university.degree","no","no","no","cellular","dec","thu",112,4,999,1,"failure",-3,92.713,-33,0.7,5023.5,"no"
59,"retired","married","basic.6y","no","yes","no","cellular","jul","tue",367,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
39,"entrepreneur","married","high.school","no","no","yes","telephone","may","fri",229,3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
41,"admin.","married","high.school","no","no","yes","telephone","may","mon",863,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
32,"technician","single","professional.course","no","no","no","cellular","jul","tue",769,4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
37,"management","divorced","high.school","no","yes","no","cellular","apr","fri",647,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
58,"blue-collar","married","basic.4y","no","no","no","telephone","jun","mon",469,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
33,"admin.","single","university.degree","no","yes","yes","telephone","jun","wed",238,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
35,"","married","basic.9y","no","no","yes","telephone","may","wed",129,2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
46,"technician","divorced","professional.course","no","yes","yes","cellular","aug","wed",22,5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
22,"blue-collar","single","","","no","no","telephone","jul","mon",50,4,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
24,"technician","single","professional.course","no","yes","no","cellular","jun","tue",211,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,"no"
38,"blue-collar","married","high.school","","","","telephone","jun","fri",102,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
36,"blue-collar","married","basic.4y","","no","no","telephone","jun","mon",280,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
30,"admin.","single","university.degree","no","no","no","cellular","nov","thu",319,5,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
26,"technician","married","professional.course","no","no","no","telephone","may","thu",260,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
28,"services","single","high.school","no","no","no","telephone","jun","tue",290,3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
41,"technician","married","professional.course","no","no","no","cellular","oct","wed",391,2,27,1,"success",-1.1,94.601,-49.5,0.959,4963.6,"yes"
40,"entrepreneur","divorced","university.degree","no","no","no","cellular","nov","mon",121,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
42,"admin.","divorced","university.degree","no","no","no","cellular","may","fri",308,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes"
31,"blue-collar","single","high.school","no","yes","no","cellular","nov","thu",359,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
37,"admin.","married","university.degree","no","no","no","telephone","sep","wed",150,1,999,0,"nonexistent",-1.1,94.199,-37.5,0.886,4963.6,"no"
29,"technician","single","university.degree","no","no","yes","telephone","jul","wed",357,7,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
25,"student","single","high.school","no","yes","no","telephone","oct","tue",17,1,999,0,"nonexistent",-1.1,94.601,-49.5,1.037,4963.6,"no"
56,"blue-collar","married","basic.9y","","yes","no","cellular","may","fri",705,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
45,"technician","married","university.degree","no","no","no","telephone","aug","thu",430,3,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
46,"self-employed","married","university.degree","no","yes","no","telephone","may","tue",151,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
21,"services","single","high.school","no","yes","no","cellular","apr","thu",374,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.435,5099.1,"no"
42,"blue-collar","married","basic.4y","no","yes","no","cellular","may","tue",439,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
51,"admin.","single","university.degree","no","no","no","cellular","jun","fri",159,2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"yes"
36,"management","divorced","university.degree","no","yes","no","cellular","sep","tue",337,1,6,1,"success",-1.1,94.199,-37.5,0.881,4963.6,"yes"
39,"technician","married","professional.course","no","yes","no","cellular","apr","thu",67,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"no"
58,"services","married","high.school","no","yes","no","telephone","jun","fri",32,1,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,"no"
20,"student","single","","no","yes","yes","cellular","apr","fri",180,2,999,0,"nonexistent",-1.8,93.749,-34.6,0.663,5008.7,"no"
48,"technician","divorced","professional.course","no","no","no","telephone","jun","mon",204,5,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
60,"retired","married","university.degree","no","no","no","cellular","sep","thu",799,2,999,0,"nonexistent",-1.1,94.199,-37.5,0.884,4963.6,"yes"
36,"blue-collar","married","basic.6y","no","yes","no","cellular","nov","wed",169,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
39,"admin.","married","university.degree","no","no","no","telephone","jun","mon",105,11,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
33,"admin.","divorced","university.degree","no","yes","no","cellular","aug","mon",73,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
30,"admin.","married","university.degree","no","no","no","telephone","may","fri",294,4,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
32,"blue-collar","single","basic.9y","","yes","no","telephone","may","wed",134,1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
60,"retired","married","basic.6y","no","yes","no","cellular","apr","mon",579,2,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
53,"admin.","married","university.degree","no","yes","yes","cellular","jul","wed",205,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
32,"admin.","single","university.degree","no","no","no","cellular","aug","wed",160,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
36,"admin.","married","university.degree","no","yes","no","cellular","aug","wed",134,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
33,"admin.","single","university.degree","no","no","no","cellular","nov","thu",757,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
57,"management","divorced","high.school","no","no","no","telephone","may","tue",436,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
29,"blue-collar","single","high.school","no","yes","no","cellular","may","mon",134,2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
42,"blue-collar","married","","","no","yes","cellular","may","thu",428,3,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
29,"technician","single","professional.course","no","yes","no","cellular","sep","mon",157,7,3,5,"success",-1.1,94.199,-37.5,0.879,4963.6,"no"
35,"entrepreneur","married","university.degree","no","yes","no","cellular","may","wed",57,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
34,"admin.","single","high.school","no","yes","no","telephone","may","thu",168,5,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
45,"management","married","university.degree","no","no","yes","cellular","jul","thu",542,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
29,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",54,1,6,1,"success",-1.8,92.893,-46.2,1.281,5099.1,"no"
58,"management","divorced","university.degree","no","yes","no","telephone","jul","wed",174,5,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
58,"retired","married","professional.course","no","yes","no","cellular","may","wed",47,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
53,"entrepreneur","married","university.degree","no","no","no","cellular","jul","mon",304,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
30,"technician","single","university.degree","no","no","no","cellular","may","mon",195,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
53,"blue-collar","married","high.school","","no","no","cellular","apr","mon",193,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
34,"admin.","married","university.degree","no","yes","no","cellular","jul","thu",417,1,6,3,"success",-1.7,94.215,-40.3,0.899,4991.6,"yes"
37,"blue-collar","single","professional.course","no","no","no","cellular","may","wed",84,2,999,2,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
55,"services","divorced","high.school","no","no","yes","telephone","may","mon",207,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
33,"admin.","divorced","high.school","no","yes","no","telephone","may","wed",161,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
28,"technician","married","high.school","no","no","no","telephone","may","tue",180,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
31,"services","single","high.school","no","no","yes","telephone","jun","fri",99,5,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
35,"blue-collar","married","basic.9y","no","no","no","telephone","jun","tue",33,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
32,"admin.","single","university.degree","","","","telephone","may","tue",49,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"management","married","university.degree","no","yes","no","cellular","aug","thu",77,6,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
49,"entrepreneur","divorced","basic.9y","no","no","no","cellular","may","fri",166,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
30,"technician","married","professional.course","no","yes","no","cellular","mar","tue",263,2,6,2,"success",-1.8,93.369,-34.8,0.655,5008.7,"yes"
47,"services","single","basic.9y","no","no","no","cellular","nov","tue",187,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
46,"admin.","married","high.school","no","yes","no","telephone","may","thu",146,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
38,"blue-collar","single","basic.9y","","yes","no","cellular","may","wed",93,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
28,"technician","single","professional.course","no","yes","no","telephone","may","wed",185,1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
48,"services","single","basic.4y","","yes","no","cellular","may","thu",24,7,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
42,"admin.","married","basic.6y","no","yes","yes","telephone","jun","wed",365,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
31,"services","single","university.degree","no","yes","no","telephone","aug","wed",701,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.879,5076.2,"no"
40,"blue-collar","married","basic.4y","no","yes","yes","cellular","may","tue",103,2,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
38,"blue-collar","single","high.school","no","no","no","telephone","may","tue",364,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
32,"blue-collar","single","basic.9y","no","yes","yes","cellular","jul","tue",282,6,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
41,"entrepreneur","divorced","","no","no","no","cellular","may","fri",536,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes"
36,"technician","married","professional.course","no","yes","no","cellular","aug","wed",95,5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
58,"retired","married","","","yes","no","telephone","jul","mon",121,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
39,"blue-collar","single","basic.4y","","yes","no","telephone","jul","fri",129,2,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
59,"management","married","basic.4y","no","yes","no","cellular","jul","fri",351,3,999,0,"nonexistent",-1.7,94.215,-40.3,0.885,4991.6,"yes"
27,"blue-collar","married","basic.9y","","no","no","telephone","may","mon",484,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"services","single","high.school","no","yes","no","telephone","may","wed",190,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
41,"admin.","married","university.degree","no","yes","no","cellular","jul","tue",826,1,999,1,"failure",-2.9,92.469,-33.6,1.044,5076.2,"no"
37,"admin.","married","basic.9y","no","yes","no","telephone","jun","thu",209,3,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
36,"blue-collar","married","","no","no","no","cellular","may","thu",156,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
51,"unemployed","married","high.school","no","yes","no","cellular","sep","wed",657,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.768,5017.5,"no"
42,"admin.","married","university.degree","no","no","no","telephone","may","mon",336,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
26,"blue-collar","married","basic.9y","","no","no","cellular","jul","tue",99,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
30,"technician","single","professional.course","no","no","no","telephone","may","mon",480,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"blue-collar","married","basic.4y","","no","no","cellular","may","wed",249,2,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no"
41,"admin.","married","basic.6y","no","no","no","telephone","may","fri",193,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
44,"services","married","high.school","","yes","no","cellular","aug","tue",157,3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
42,"admin.","married","","no","no","no","telephone","may","tue",221,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
41,"blue-collar","single","","","no","no","cellular","jul","fri",96,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
32,"admin.","married","university.degree","no","no","no","telephone","nov","wed",651,1,999,1,"failure",-1.1,94.767,-50.8,1.03,4963.6,"yes"
48,"blue-collar","divorced","basic.9y","no","yes","yes","telephone","may","fri",246,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"blue-collar","married","basic.6y","no","yes","no","telephone","jun","fri",127,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
34,"technician","divorced","basic.9y","no","no","no","telephone","jun","wed",156,3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
40,"services","married","basic.9y","no","no","no","telephone","jul","thu",21,35,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
55,"technician","married","university.degree","no","no","no","telephone","jun","tue",126,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
29,"services","single","high.school","no","yes","no","cellular","nov","fri",43,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
40,"admin.","divorced","university.degree","","yes","no","cellular","aug","tue",1200,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
52,"technician","divorced","university.degree","","no","no","cellular","nov","fri",123,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
38,"technician","single","university.degree","no","no","no","telephone","jun","mon",258,1,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
51,"admin.","divorced","high.school","no","yes","no","cellular","nov","tue",283,1,3,7,"success",-1.1,94.767,-50.8,1.049,4963.6,"no"
23,"student","single","high.school","no","no","no","cellular","jul","tue",370,1,999,1,"failure",-2.9,92.469,-33.6,1.044,5076.2,"yes"
35,"technician","single","university.degree","no","yes","no","cellular","jul","fri",127,10,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
49,"management","married","university.degree","no","no","no","telephone","jun","thu",216,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
38,"technician","married","professional.course","no","yes","yes","cellular","mar","thu",63,2,999,0,"nonexistent",-1.8,92.843,-50,1.757,5099.1,"yes"
31,"services","single","high.school","no","yes","no","telephone","may","wed",17,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
32,"services","married","high.school","no","yes","yes","telephone","may","wed",383,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
41,"blue-collar","married","basic.9y","no","no","no","cellular","apr","fri",367,3,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes"
32,"admin.","divorced","university.degree","","yes","no","telephone","may","tue",11,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
34,"services","single","high.school","no","no","no","cellular","jul","thu",111,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
36,"management","married","university.degree","no","yes","yes","cellular","apr","mon",163,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
30,"services","divorced","basic.9y","no","no","no","telephone","may","thu",177,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
37,"technician","single","professional.course","no","yes","yes","cellular","aug","mon",149,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
34,"admin.","married","professional.course","no","no","yes","cellular","jul","tue",82,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
54,"housemaid","married","basic.4y","","no","no","cellular","jul","mon",125,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
30,"services","married","university.degree","no","","","cellular","may","mon",132,1,999,1,"failure",-1.8,92.893,-46.2,1.244,5099.1,"no"
